[Star/Star]   [Fe/H] [C/Fe] [N/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [S/Fe] [K/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [V/Fe] [Cr/Fe] [Mn/Fe] [Co/Fe] [Ni/Fe] [Cu/Fe] [Zn/Fe] [Sr/Fe] [Y/Fe] [Ba/Fe] [Zr/Fe] [Ce/Fe] [Nd/Fe] [Eu/Fe]
 89010        -0.06   0.23   0.44  0.29  0.07  0.04  0.13  0.08   0.18  0.03 -0.05  0.02 -0.04 -0.07 -0.03 -0.08  0.03  0.02  0.04  0.13 -0.10  0.02  0.07 -0.07  0.04  0.01  0.15
 90878        -0.24   0.02  -30.0  0.39  0.10  0.06  0.02  0.05   0.01  0.47  0.03 -0.12  0.07  0.14  0.03 -0.13  0.04 -0.06 -0.18 -0.01 -0.52 -30.0 -30.0  0.22  0.10 -30.0 -30.0
 91638        -0.25   0.01  -30.0  0.22  0.02  0.09  0.01  0.01  -0.02  0.31 -0.04  0.03  0.03 -0.04 -0.05 -0.12 -0.05 -0.03 -0.12  0.05  0.03 -0.01 -0.12  0.00 -0.03 -30.0  0.13
 94012        -0.47   0.19  -30.0  0.33  0.08  0.05  0.08  0.04   0.16  0.26  0.07  0.10  0.04 -0.03 -0.03 -0.13  0.01 -0.02 -0.09  0.09 -0.06  0.01 -0.02  0.03  0.11 -0.07 -30.0
 94835         0.05   0.17   0.32  0.19  0.00  0.01  0.06  0.07   0.16  0.02 -0.05  0.12 -0.05 -0.08 -0.03 -0.05  0.00  0.02  0.00  0.10  0.00  0.15  0.05  0.04  0.08  0.02 -30.0
 97037        -0.14   0.07   0.18  0.17 -0.02  0.06  0.08  0.02   0.10  0.11 -0.01  0.06  0.00 -0.04 -0.02 -0.09 -0.02 -0.02 -0.03  0.09 -0.14 -0.02 -30.0 -0.09 -0.02  0.03  0.09
 99126        -0.15   0.12   0.30  0.22 -0.01  0.11  0.12  0.05   0.05 -30.0 -0.04 -0.09  0.01 -0.13  0.00 -0.13 -0.04  0.00 -0.13  0.01 -30.0  0.00 -0.08  0.00  0.01 -30.0  0.12
 99233        -0.62   0.21  -30.0  0.38 -0.01  0.10  0.15  0.08   0.12  0.16  0.05  0.07  0.09 -0.01 -0.03 -0.18  0.00 -0.02 -0.09 -0.03 -0.10 -0.13  0.01 -0.12 -0.06 -0.05 -30.0
 99984        -0.35   0.10  -30.0  0.32  0.06  0.05  0.13  0.05   0.10  0.50  0.06 -0.05  0.08  0.06  0.04 -0.14 -0.08 -0.02 -0.11 -0.01  0.11  0.04 -0.02  0.12 -0.08  0.10 -30.0
100067        -0.31   0.05   0.17  0.20  0.05  0.07  0.06  0.04  -0.04  0.26  0.00  0.05  0.04 -0.02 -0.03 -0.21 -0.04 -0.03 -0.15  0.08  0.04  0.00  0.07  0.05 -0.01 -30.0  0.18
100446        -0.45   0.18  -30.0  0.29  0.09  0.11  0.13  0.02   0.08  0.29  0.07  0.03  0.04 -0.02 -0.06 -0.15 -0.01 -0.02 -0.06  0.08 -30.0  0.03 -0.04  0.08 -0.02  0.10 -30.0
101472        -0.15   0.16  -30.0  0.26 -0.12 -0.02 -0.04  0.00   0.10  0.16 -0.04 -0.05 -0.02 -0.06  0.03 -0.13 -0.10 -0.06 -0.21 -0.02  0.13  0.12  0.08  0.23  0.03 -30.0 -0.02
101676        -0.46   0.22  -30.0  0.34  0.09  0.17  0.15  0.09   0.08  0.37  0.04  0.08  0.06  0.01 -0.01 -0.17  0.03  0.00 -0.05  0.08  0.01  0.00  0.18  0.03  0.08  0.07  0.09
101716        -0.18   0.19  -30.0  0.38  0.05  0.13  0.10  0.07   0.19  0.40  0.04 -0.01  0.01 -0.07  0.00 -0.11 -0.02 -0.02 -0.07  0.05  0.07  0.09 -30.0  0.12  0.12 -30.0 -0.03
102080        -0.36   0.14  -30.0  0.22  0.05  0.05  0.10  0.04   0.09  0.28  0.03  0.02  0.02  0.05 -0.02 -0.11 -0.02  0.01 -0.05  0.08  0.07 -0.04 -0.08 -0.05 -0.09  0.02  0.04
102618        -0.31   0.18  -30.0  0.34  0.04  0.05  0.08  0.05   0.12  0.33  0.03  0.03  0.02 -0.10 -0.02 -0.14 -0.03 -0.02 -0.06  0.15 -0.03 -0.05 -0.02 -0.02 -0.08 -30.0 -30.0
103891        -0.25   0.04  -30.0  0.19  0.07  0.06  0.08  0.04   0.06  0.41  0.05 -0.01  0.05  0.00  0.03 -0.14 -0.05 -0.01 -0.09  0.00  0.09 -0.01  0.08  0.00 -0.03  0.09  0.07
106510        -0.46   0.14  -30.0  0.30  0.03  0.10  0.10  0.07   0.19  0.12  0.03  0.12  0.06 -0.02 -0.01 -0.15  0.01 -0.01 -0.03  0.09 -0.11  0.00 -30.0 -0.09  0.07  0.16  0.09
107038        -0.39   0.11  -30.0  0.18  0.08  0.09  0.08  0.06   0.05  0.33  0.05  0.01  0.05  0.98 -0.03 -0.15 -0.05 -0.01 -0.07  0.02 -0.05 -0.08 -0.14 -0.04 -0.09 -0.02  0.06
108134        -0.38   0.23  -30.0  0.32  0.03  0.03  0.13  0.06   0.21  0.11  0.05  0.05 -0.01 -0.06 -0.04 -0.11  0.00 -0.02 -0.08  0.03 -0.07 -0.10 -0.03 -0.15 -0.09 -0.04 -0.06
109154        -0.42   0.23  -30.0  0.43  0.11  0.07 -0.04  0.10   0.13  0.39  0.08  0.03  0.08  0.03 -0.04 -0.20 -0.06  0.00 -0.11  0.02  0.38  0.09  0.29  0.06 -0.03  0.09  0.15
109303        -0.44   0.32  -30.0  0.55  0.11  0.07  0.11  0.08   0.14  0.34  0.04  0.11  0.01 -0.07 -0.05 -0.20 -0.06 -0.03 -0.14  0.07  0.05  0.11  0.19  0.20 -0.07  0.12  0.23
110989        -0.48   0.22  -30.0  0.59  0.16  0.33  0.31  0.23   0.20  0.50  0.18  0.08  0.26  0.04 -0.02 -0.28  0.15  0.04 -0.06  0.24  0.10 -0.11 -0.01 -0.28 -0.18 -30.0 -30.0
112756        -0.35   0.12   0.58  0.22  0.00  0.10  0.04  0.04  -0.01  0.15  0.01  0.05  0.06 -0.03 -0.04 -0.17 -0.04 -0.06 -0.15  0.02  0.02  0.07 -30.0  0.08  0.09  0.23  0.24
112887        -0.32  -0.02  -30.0  0.34  0.10  0.11  0.01  0.06  -0.02 -30.0  0.11  0.03  0.15  0.08 -0.01 -0.15  0.08 -0.04 -0.20  0.02 -30.0  0.12  0.07  0.30  0.19  0.09  0.14
118687        -0.45   0.25  -30.0  0.34  0.08  0.08  0.12  0.07   0.16  0.25  0.01  0.12  0.02 -0.05 -0.03 -0.14  0.00 -0.01 -0.08  0.03  0.09  0.21  0.11  0.20  0.15 -30.0 -30.0
121560        -0.38   0.07  -30.0  0.25  0.04  0.04  0.04  0.00   0.04  0.22  0.04  0.06  0.00 -0.04 -0.06 -0.17 -0.06 -0.04 -0.10  0.06  0.04  0.14 -0.02  0.01  0.05  0.09 -30.0
124819        -0.28   0.13  -30.0  0.36  0.03 -0.03  0.05  0.06   0.11  0.17  0.04 -30.0 -0.01 -0.05 -0.03 -0.16 -0.04 -0.05 -30.0  0.08 -30.0 -0.13 -30.0 -0.09 -0.10 -30.0 -30.0
126053        -0.41   0.18  -30.0  0.25  0.00  0.04  0.14  0.07   0.12  0.06  0.04  0.15  0.07 -0.01 -0.02 -0.09  0.01 -0.01  0.01  0.16 -0.13 -0.04 -0.15 -0.12 -0.02  0.01  0.32
127667        -0.39   0.10  -30.0  0.26  0.07  0.08  0.00  0.05   0.01  0.27  0.00 -0.02 -0.01  0.00 -0.04 -0.12 -0.02 -0.01 -0.11  0.04 -0.01 -0.08  0.00 -0.03  0.06  0.14 -30.0
130253        -0.23   0.18  -30.0  0.29  0.08  0.08  0.17  0.07   0.18  0.19  0.08  0.00  0.01 -0.06 -0.02 -0.14 -0.01  0.01 -0.07 -0.05 -0.07 -0.05 -0.03 -0.12 -0.08  0.04 -0.06
131039        -0.23   0.12  -30.0  0.41  0.04 -30.0  0.13  0.09   0.07 -30.0  0.05 -0.05 -0.05  0.13 -0.03 -0.19 -0.02 -0.04 -0.22 -30.0 -30.0  0.09 -30.0  0.12  0.00 -30.0 -30.0
131599        -0.44   0.24  -30.0  0.37  0.07  0.06  0.09  0.04   0.20  0.25  0.04  0.05  0.01 -0.06 -0.02 -0.19 -0.01 -0.03 -0.05  0.06  0.01  0.03  0.08  0.00  0.04 -0.07 -30.0
133641        -0.42   0.20  -30.0  0.36  0.14  0.06  0.13  0.08   0.10 -30.0  0.12 -0.08  0.07  0.20  0.04 -0.11 -0.06 -0.04 -0.18  0.02  0.14 -0.05 -0.26 -0.07  0.00 -0.11  0.06
136925        -0.38   0.33  -30.0  0.49  0.11  0.21  0.30  0.20   0.28  0.20  0.13  0.22  0.19  0.07 -0.01 -0.20  0.11  0.05  0.07  0.27 -0.09 -0.02 -30.0 -0.20  0.01  0.24 -30.0
139457        -0.49   0.28  -30.0  0.38  0.08  0.08  0.11  0.08   0.16  0.42  0.07  0.06  0.08  0.09 -0.02 -0.16 -0.05 -0.02 -0.09  0.05 -0.05 -0.03 -0.04 -0.06  0.02  0.04  0.07
140324        -0.36   0.23  -30.0  0.35  0.04  0.12  0.11  0.08   0.16  0.24  0.01  0.10  0.04  0.06  0.00 -0.15  0.00 -0.01 -0.04  0.11 -30.0  0.29 -30.0  0.18  0.29 -30.0 -30.0
140750        -0.37   0.39  -30.0  0.51  0.06 -0.05  0.16  0.11   0.35  0.17  0.04  0.13 -0.02 -0.09 -0.02 -0.14  0.01  0.01 -0.04  0.18 -0.08  0.04  0.00 -0.05  0.01  0.03  0.19
145937        -0.60   0.23  -30.0  0.49  0.08  0.11  0.16  0.08   0.17  0.36  0.11  0.06  0.07  0.01  0.00 -0.16  0.02 -0.02 -0.12  0.04 -0.03 -0.13 -0.15 -0.22 -0.19  0.00 -30.0
146946        -0.37   0.30  -30.0  0.30  0.09  0.05  0.15  0.04   0.24  0.25 -30.0 -0.07  0.13  0.17 -0.02 -0.07 -0.06 -0.05 -0.11 -0.01  0.01 -30.0 -30.0  0.00  0.03 -30.0 -30.0
