H AGB yields: Lugaro et al. (2012), Karakas et al. (2016, 2018)
H Data prepared by: Benoit Cote
H Data prepared date: 2021-07-01
&Cl-37    &2.744e-06  &0.000e+00  &17 &37
&Ar-36    &1.512e-04  &0.000e+00  &18 &36
&Ar-38    &2.902e-05  &0.000e+00  &18 &38
&Ar-40    &4.893e-08  &0.000e+00  &18 &40
&K-39     &7.873e-06  &0.000e+00  &19 &39
&K-40     &5.507e-10  &0.000e+00  &19 &40
&K-41     &5.972e-07  &0.000e+00  &19 &41
&Ca-40    &1.363e-04  &0.000e+00  &20 &40
&Ca-42    &9.552e-07  &0.000e+00  &20 &42
&Ca-43    &2.041e-07  &0.000e+00  &20 &43
&Ca-44    &3.226e-06  &0.000e+00  &20 &44
&Ca-46    &6.468e-09  &0.000e+00  &20 &46
&Ca-48    &3.155e-07  &0.000e+00  &20 &48
&Sc-45    &9.103e-08  &0.000e+00  &21 &45
&Ti-46    &5.561e-07  &0.000e+00  &22 &46
&Ti-47    &5.124e-07  &0.000e+00  &22 &47
&Ti-48    &5.185e-06  &0.000e+00  &22 &48
&Ti-49    &3.885e-07  &0.000e+00  &22 &49
&Ti-50    &3.795e-07  &0.000e+00  &22 &50
&V-51     &8.364e-07  &0.000e+00  &23 &51
&Cr-52    &3.429e-05  &0.000e+00  &24 &52
&Cr-53    &3.963e-06  &0.000e+00  &24 &53
&Cr-54    &1.005e-06  &0.000e+00  &24 &54
&Mn-55    &2.994e-05  &0.000e+00  &25 &55
&Fe-54    &1.973e-04  &0.000e+00  &26 &54
&Fe-56    &3.212e-03  &0.000e+00  &26 &56
&Fe-57    &7.550e-05  &0.000e+00  &26 &57
&Fe-58    &1.022e-05  &0.000e+00  &26 &58
H Table: (M=2.0,Z=0.03)
H Lifetime: 1.529e+09
H Mfinal: 6.433e-01
&Isotopes &Yields     &X0         &Z &A
&H-1      &8.982e-01  &0.000e+00  &1  &1
&H-2      &1.171e-05  &0.000e+00  &1  &2
&He-3     &6.887e-04  &0.000e+00  &2  &3
&He-4     &4.189e-01  &0.000e+00  &2  &4
&Li-7     &2.143e-09  &0.000e+00  &3  &7
&C-12     &4.947e-03  &0.000e+00  &6  &12
&C-13     &2.142e-04  &0.000e+00  &6  &13
&N-14     &4.049e-03  &0.000e+00  &7  &14
&N-15     &2.924e-06  &0.000e+00  &7  &15
&O-16     &1.664e-02  &0.000e+00  &8  &16
&O-17     &2.853e-05  &0.000e+00  &8  &17
&O-18     &3.002e-05  &0.000e+00  &8  &18
&F-19     &1.062e-06  &0.000e+00  &9  &19
&Ne-20    &3.372e-03  &0.000e+00  &10 &20
&Ne-21    &8.488e-06  &0.000e+00  &10 &21
&Ne-22    &2.639e-04  &0.000e+00  &10 &22
&Na-23    &1.004e-04  &0.000e+00  &11 &23
&Mg-24    &1.608e-03  &0.000e+00  &12 &24
&Mg-25    &2.121e-04  &0.000e+00  &12 &25
&Mg-26    &2.429e-04  &0.000e+00  &12 &26
&Al-27    &1.549e-04  &0.000e+00  &13 &27
&Si-28    &1.781e-03  &0.000e+00  &14 &28
&Si-29    &9.365e-05  &0.000e+00  &14 &29
&Si-30    &6.387e-05  &0.000e+00  &14 &30
&P-31     &1.778e-05  &0.000e+00  &15 &31
&S-32     &8.534e-04  &0.000e+00  &16 &32
