H CC SNe yields: Nomoto et al. (2013), 0% HNe
H Data prepared by: Benoit Cote
H Data prepared date: 2021-07-01
H Isotopes: H-1, H-2, He-3, He-4, Li-6, Li-7, Be-9, B-10, B-11, C-12, C-13, N-14, N-15, O-16, O-17, O-18, F-19, Ne-20, Ne-21, Ne-22, Na-23, Mg-24, Mg-25, Mg-26, Al-27, Si-28, Si-29, Si-30, P-31, S-32, S-33, S-34, S-36, Cl-35, Cl-37, Ar-36, Ar-38, Ar-40, K-39, K-40, K-41, Ca-40, Ca-42, Ca-43, Ca-44, Ca-46, Ca-48, Sc-45, Ti-46, Ti-47, Ti-48, Ti-49, Ti-50, V-50, V-51, Cr-50, Cr-52, Cr-53, Cr-54, Mn-55, Fe-54, Fe-56, Fe-57, Fe-58, Co-59, Ni-58, Ni-60, Ni-61, Ni-62, Ni-64, Cu-63, Cu-65, Zn-64, Zn-66, Zn-67, Zn-68, Zn-70, Ga-69, Ga-71, Ge-70, Ge-72, Ge-73, Ge-74
H Table: (M=13.0,Z=0.05)
H Lifetime: 1.707e+07
H Mfinal: 2.235e+00
&Isotopes &Yields     &X0         &Z &A
&Al-27    &4.528e-02  &0.000e+00  &13 &27
&Si-28    &3.150e-01  &0.000e+00  &14 &28
&Si-29    &1.352e-02  &0.000e+00  &14 &29
&Si-30    &1.271e-02  &0.000e+00  &14 &30
&P-31     &3.725e-03  &0.000e+00  &15 &31
&S-32     &1.247e-01  &0.000e+00  &16 &32
&S-33     &8.016e-04  &0.000e+00  &16 &33
&S-34     &6.306e-03  &0.000e+00  &16 &34
&S-36     &8.800e-05  &0.000e+00  &16 &36
&Cl-35    &3.867e-04  &0.000e+00  &17 &35
&Cl-37    &5.642e-04  &0.000e+00  &17 &37
&Ar-36    &1.629e-02  &0.000e+00  &18 &36
&Ar-38    &3.723e-03  &0.000e+00  &18 &38
&Ar-40    &1.003e-05  &0.000e+00  &18 &40
&K-39     &2.513e-04  &0.000e+00  &19 &39
&K-40     &5.642e-07  &0.000e+00  &19 &40
&K-41     &6.101e-05  &0.000e+00  &19 &41
&Ca-40    &1.118e-02  &0.000e+00  &20 &40
&Ca-42    &9.418e-05  &0.000e+00  &20 &42
&Ca-43    &8.238e-06  &0.000e+00  &20 &43
&Ca-44    &8.281e-05  &0.000e+00  &20 &44
&Ca-46    &4.445e-06  &0.000e+00  &20 &46
&Ca-48    &5.651e-06  &0.000e+00  &20 &48
&Sc-45    &7.503e-06  &0.000e+00  &21 &45
&Ti-46    &3.561e-05  &0.000e+00  &22 &46
&Ti-47    &1.236e-05  &0.000e+00  &22 &47
&Ti-48    &1.907e-04  &0.000e+00  &22 &48
