[Star/Star] [Fe/H] [FeI/H] [C/Fe] [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [V/Fe] [Cr/Fe] [Mn/Fe] [Co/Fe] [Ni/Fe] [Cu/Fe] [Zn/Fe] [Y/Fe] [Ba/Fe] [Ce/Fe] [Nd/Fe] [Eu/Fe]
112666 -0.42 -0.42  0.25  0.44  0.07 -30.0  0.21  0.21  0.13  0.14  0.10  0.17 -0.03 -0.14  0.09 -0.01  0.01  0.07 -0.09 -0.13    0.27    0.16    0.43
112811 -0.70 -0.70 -30.0  0.65  0.01  0.30  0.24  0.25  0.12  0.15  0.24  0.21 -0.10 -0.37  0.07 -0.02 -0.11 -30.0  0.07 -0.19   -0.10   -0.05    0.28
113514 -0.63 -0.63  0.42  0.66  0.09  0.29  0.19  0.21  0.16  0.19  0.13  0.03 -0.05 -0.24  0.04 -30.0  0.08  0.16  0.08 -0.03    0.07    0.35    0.43
116421 -0.51 -0.51  0.38  0.60  0.13  0.31  0.34  0.26  0.21  0.22  0.23  0.13 -0.01 -0.24  0.12  0.03 -30.0  0.07  0.03 -0.13   -30.0    0.19    0.23
117029 -0.77 -0.77  0.46  0.77  0.14  0.33  0.38  0.27  0.17  0.11  0.20  0.10 -0.02 -0.31  0.13  0.04 -0.03  0.11 -0.04 -0.27    0.05    0.18    0.25
  2909 -0.28 -0.28  0.37  0.40  0.13  0.19  0.23  0.15  0.08  0.04  0.10  0.04 -0.01 -0.15  0.08  0.03  0.04 -0.01 -0.08 -0.12    0.02    0.12    0.16
 14086 -0.65 -0.65  0.34  0.54  0.09  0.39  0.29  0.27  0.19  0.21  0.27  0.20  0.01 -0.23  0.14  0.05  0.07  0.06  0.09 -0.18    0.06    0.28    0.39
 14241 -0.49 -0.49  0.33  0.57  0.10 -30.0  0.24  0.23  0.13  0.27  0.22  0.11 -0.01 -0.19  0.15  0.04  0.15  0.16  0.16 -0.06    0.13    0.22    0.48
 19696 -0.24 -0.24  0.34  0.44  0.05  0.12  0.13  0.14  0.02  0.10  0.05  0.01 -0.01 -0.14  0.06 -30.0  0.10  0.19  0.08  0.02    0.07    0.20    0.25
 26437  0.10  0.10  0.02  0.07 -30.0  0.07  0.06  0.01 -30.0 -0.09 -0.03 -0.02 -30.0 -0.05 -0.04 -30.0 -0.02 -0.11 -0.05 -0.13   -0.16    0.02   -0.08
 39616 -0.41 -0.41  0.15  0.32  0.10  0.15  0.06  0.08  0.02  0.05  0.01 -0.04 -0.05 -0.15 -0.02 -0.04 -0.06  0.06  0.05  0.12    0.21    0.27    0.12
 40118 -0.47 -0.47  0.41  0.54  0.08  0.21  0.22  0.21  0.10  0.23  0.15  0.08 -0.05 -0.19  0.10  0.01  0.10  0.16 -30.0 -0.06    0.17    0.32    0.38
 64924 -0.03 -0.03  0.18  0.07 -0.06  0.02 -0.01  0.05 -0.02  0.08 -0.06 -30.0 -0.03 -0.06  0.01 -0.05 -30.0  0.07 -0.08  0.03    0.17    0.26    0.15
 73078 -0.11 -0.11  0.30  0.47  0.04  0.15  1.30  0.18 -0.03  0.02 -0.13 -0.04 -0.04 -0.07  0.04  0.05  0.02  0.02 -0.09 -0.41    0.13    0.18   -0.10
 74933 -0.39 -0.39  0.33  0.52 -30.0  0.11  0.19  0.12  0.05  0.16 -0.02 -0.05 -0.08 -0.20 -0.02 -0.04 -0.03  0.09  0.02  0.05    0.04    0.16    0.24
 81681 -0.38 -0.38  0.31  0.50  0.04  0.27  0.23  0.18  0.10  0.19  0.16  0.10 -0.05 -0.22  0.09  0.04  0.10  0.12  0.05 -0.15    0.10    0.35    0.30
 84506  0.09  0.09  0.50  0.43  0.14  0.04  0.24  0.20 -0.03  0.09 -0.08 -0.01  0.02 -0.07  0.08  0.06  0.15  0.05  0.01 -0.08    0.03   -30.0   -0.11
 86568 -0.40 -0.40  0.35  0.62  0.03 -30.0  0.21  0.24  0.07  0.19  0.17  0.22 -0.05 -0.16  0.17  0.04  0.04  0.13 -0.07 -0.07    0.20    0.18    0.49
  3026 -1.04 -1.04 -30.0  0.47  0.07  0.19 -30.0  0.09  0.11  0.13  0.20 -30.0 -0.21 -0.52  0.31 -0.01 -30.0  0.03  0.06  0.09   -30.0   -30.0   -30.0
 10449 -0.87 -0.87 -30.0  0.71 -0.04  0.26  0.18  0.24  0.18  0.19  0.12 -0.09 -0.01 -0.41  0.13 -0.06 -0.20  0.14  0.07 -0.01    0.29   -30.0    0.49
 12294 -0.95 -0.95  0.24  0.22  0.07  0.14 -30.0  0.28  0.14  0.07  0.15 -30.0  0.09 -0.35 -30.0  0.04 -0.37 -30.0  0.01 -0.12   -30.0    0.80   -30.0
 16072 -1.39 -1.39 -30.0  1.20  0.41  0.45 -30.0  0.49  0.28 -30.0  0.26  0.33 -0.02 -0.28 -30.0 -0.01 -0.32  0.33  0.36  0.14   -30.0   -30.0   -30.0
 28671 -1.01 -1.01 -30.0  0.79 -0.03  0.14 -30.0  0.17  0.16 -0.06  0.16  0.26  0.02 -0.48  0.01 -0.03 -0.42  0.15  0.10 -0.15   -30.0   -30.0    0.42
 52771 -1.98 -1.98 -30.0  1.10 -30.0  0.21 -30.0 -30.0  0.10 -30.0  0.11 -30.0 -30.0 -0.47  0.78 -0.06 -30.0  0.17 -30.0 -0.27   -30.0   -30.0   -30.0
 55592 -0.94 -0.94  0.39  0.59  0.08  0.31  0.21  0.18  0.15 -0.01  0.15  0.11 -0.11 -0.42 -0.02 -0.05 -0.34  0.17  0.09  0.13    0.12   -30.0    0.40
 57450 -1.50 -1.50 -30.0  0.99  0.18  0.36 -30.0  0.34  0.20  0.23  0.10  0.26 -0.09 -0.40 -30.0 -0.11 -0.36  0.08 -0.04 -0.05   -30.0   -30.0   -30.0
 58229 -0.83 -0.83 -30.0  0.67  0.06  0.18  0.13  0.10  0.07 -0.03  0.10 -30.0 -0.35 -0.40  0.26 -0.05 -0.44  0.02  0.03 -0.13   -30.0   -30.0   -30.0
 62882 -0.98 -0.98  0.20  0.80 -0.02  0.26  0.12  0.27  0.19 -0.12  0.08  0.10 -0.07 -0.61 -0.15 -0.08 -0.55  0.12  0.08 -0.06    0.07    0.10    0.12
 73385 -1.46 -1.46 -30.0  1.00 -30.0 -30.0  1.60  0.49  0.32 -30.0  0.33 -30.0  0.18 -0.39 -30.0  0.07 -0.46  0.20  0.20  0.07    0.27   -30.0    0.31
 78640 -1.34 -1.34 -30.0  0.78 -30.0  0.29 -30.0  0.23  0.26 -0.18  0.26  0.22 -30.0 -0.34  0.41 -0.03 -30.0 -0.07 -0.07 -0.28   -30.0    0.14    0.06
 80837 -0.80 -0.80  0.46  0.72  0.14  0.36  0.26  0.24  0.16  0.17  0.21  0.12  0.05 -0.27  0.22  0.04  0.01  0.15  0.06 -0.13   -0.05    0.14    0.29
 86321 -0.87 -0.87  0.30  0.55  0.02  0.15  0.07  0.15  0.13  0.13  0.12  0.06 -0.07 -0.34  0.20 -0.04 -0.43  0.08  0.07  0.03   -30.0   -30.0    0.36
 86431 -0.54 -0.54  0.39  0.57  0.05  0.24  0.19  0.15  0.07  0.15  0.08  0.04 -0.08 -0.23  0.05 -0.05 -0.03  0.07 -30.0 -0.07    0.03    0.33    0.30
 94449 -1.12 -1.12  0.66  0.95  0.11  0.46  0.48  0.36  0.37 -0.06  0.24  0.08 -0.08 -0.36  0.14 -0.01 -0.40  0.03 -0.12 -0.27    0.11   -30.0    0.10
100568 -0.99 -0.99 -30.0  0.68  0.01  0.20 -30.0  0.14  0.11 -30.0  0.08 -30.0 -0.06 -0.51 -0.07 -0.12 -0.45 -0.06 -0.17 -0.23    0.11    0.14    0.41
