[Fe/H] err  [O/Fe] err  [Na/Fe] err [Mg/Fe] err [Al/Fe] err [Si/Fe] err [Ca/Fe] err [Ti/Fe] err [Cr/Fe] err [Ni/Fe] err [Zn/Fe] err [Y/Fe] err [Ba/Fe] err
-0.36  0.06  0.47  0.14  0.02  0.05  0.33  0.10  0.29  0.04  0.19  0.06  0.12  0.08  0.22  0.05  0.07  0.08  0.00  0.06  0.16  0.08  0.02  0.16 -0.15  0.06
-0.14  0.12  0.01  0.38 -0.09  0.22 -0.02  0.06  0.02  0.07 -0.02  0.20 -0.02  0.33  0.12  0.07  0.10  0.11 -0.01  0.15 -0.01  0.20  0.26  0.26  0.05  0.07
 0.00  0.05 -0.03  0.10  0.07  0.04  0.05  0.04  0.08  0.03  0.03  0.03  0.02  0.12  0.02  0.04  0.00  0.05  0.00  0.04  0.01  0.03 -0.08  0.09  0.01  0.06
-0.06  0.07  0.13  0.15 -0.04  0.06  0.06  0.05  0.05  0.04  0.06  0.06  0.00  0.08  0.03  0.07  0.01  0.08  0.01  0.06  0.03  0.07 -0.03  0.16 -0.03  0.08
-0.34  0.07 -30.0 -30.0  0.08  0.05  0.08  0.13  0.08  0.07  0.07  0.04  0.07  0.05  0.04  0.08 -0.06  0.10  0.01  0.07 -0.07  0.05 -0.13  0.16  0.10  0.09
-0.45  0.04  0.17  0.09  0.08  0.03  0.19  0.04 -30.0 -30.0  0.05  0.02  0.09  0.04  0.08  0.07 -0.04  0.08 -0.05  0.04 -0.14  0.06 -0.06  0.12  0.06  0.09
 0.12  0.06 -0.10  0.13 -0.05  0.05  0.12  0.06  0.09  0.04  0.02  0.04  0.02  0.04 -0.02  0.07 -0.03  0.06 -0.02  0.05 -0.05  0.07 -0.20  0.14 -0.08  0.10
 0.18  0.08 -0.19  0.16 -0.08  0.04 -0.04  0.06  0.08  0.05 -0.03  0.06 -0.01  0.04  0.03  0.06 -0.02  0.06 -0.02  0.06  0.00  0.08 -0.10  0.13 -0.10  0.10
-0.52  0.08 -30.0 -30.0  0.06  0.04  0.28  0.08  0.19  0.06  0.15  0.06  0.13  0.06  0.24  0.09  0.02  0.08  0.05  0.07  0.07  0.06 -0.11  0.17 -0.03  0.09
-0.23  0.04  0.17  0.09 -0.01  0.05  0.18  0.06 -0.01  0.04  0.08  0.02  0.08  0.04  0.03  0.07 -0.04  0.08 -0.06  0.04  0.05  0.06  0.17  0.13  0.06  0.07
-0.14  0.08  0.17  0.20 -0.04  0.06  0.08  0.06  0.11  0.04  0.05  0.08  0.01  0.09  0.08  0.09  0.01  0.11 -0.01  0.08  0.08  0.09 -0.04  0.22 -0.14  0.08
 0.09  0.05 -0.19  0.09 -0.05  0.04 -0.04  0.04 -0.10  0.04  0.00  0.02  0.05  0.03 -0.03  0.05  0.01  0.06 -0.08  0.05 -0.10  0.04  0.10  0.13  0.24  0.06
-0.70  0.05  0.63  0.13  0.11  0.04  0.37  0.05  0.20  0.05  0.26  0.04  0.26  0.05  0.24  0.06 -0.01  0.08 -0.02  0.05  0.17  0.08 -0.08  0.15 -0.03  0.12
 0.36  0.18 -0.27  0.30  0.08  0.12 -0.08  0.12  0.08  0.13  0.00  0.14 -0.02  0.09  0.07  0.07 -0.02  0.09  0.04  0.10  0.13  0.15  0.02  0.19 -0.10  0.14
 0.27  0.10 -0.27  0.17 -0.06  0.05 -0.11  0.06 -0.11  0.05 -0.08  0.05 -0.02  0.06  0.02  0.09  0.00  0.09 -0.03  0.08 -0.11  0.08  0.10  0.19  0.12  0.11
-0.13  0.04  0.04  0.10  0.04  0.03  0.11  0.04  0.06  0.03  0.03  0.02  0.04  0.04  0.00  0.07 -0.04  0.07 -0.03  0.07 -0.01  0.05 -0.09  0.14 -0.05  0.07
-0.32  0.04  0.07  0.12  0.03  0.03  0.15  0.04  0.09  0.04  0.04  0.03  0.04  0.04  0.02  0.05 -0.03  0.06 -0.04  0.04  0.21  0.12 -0.07  0.13  0.09  0.06
 0.03  0.06 -0.02  0.13  0.04  0.03  0.02  0.04  0.08  0.03  0.02  0.04  0.01  0.04  0.02  0.06  0.00  0.07  0.00  0.05 -0.02  0.06 -0.05  0.14 -0.04  0.07
-0.18  0.05  0.18  0.13 -0.03  0.05  0.09  0.04  0.06  0.03  0.06  0.05  0.03  0.08  0.03  0.06  0.03  0.06  0.00  0.05  0.09  0.07 -0.04  0.14  0.00  0.06
-0.69  0.04  0.54  0.12  0.10  0.03  0.37  0.05  0.23  0.04  0.22  0.03  0.24  0.06  0.28  0.06  0.01  0.08 -0.01  0.05  0.22  0.08 -0.03  0.15 -0.11  0.10
-0.41  0.09  0.36  0.27  0.02  0.17  0.23  0.06  0.29  0.07  0.18  0.15  0.07  0.28  0.38  0.05  0.13  0.11  0.06  0.11  0.23  0.13  0.27  0.23 -0.14  0.09
 0.06  0.19  0.11  0.38  0.02  0.26 -0.01  0.14  0.10  0.15  0.06  0.20 -0.04  0.29  0.17  0.10  0.15  0.13  0.03  0.14  0.00  0.22  0.24  0.31 -0.16  0.13
 0.22  0.17  0.06  0.29  0.01  0.15  0.08  0.16  0.09  0.12  0.12  0.13 -0.05  0.14  0.07  0.07  0.05  0.13  0.09  0.09  0.30  0.12 -0.02  0.23 -0.03  0.17
-0.26  0.04  0.14  0.11 -0.04  0.03  0.13  0.06  0.04  0.04  0.02  0.03  0.07  0.05  0.07  0.11  0.00  0.06 -0.05  0.04 -0.14  0.21 -0.14  0.13 -0.03  0.06
 0.07  0.04 -0.09  0.09  0.08  0.04  0.09  0.06 -0.03  0.06  0.06  0.03  0.06  0.05 -0.05  0.09 -0.02  0.07 -0.04  0.04 -0.16  0.07 -0.04  0.13  0.03  0.09
